eventName,year,finishPlace,adjustedTime,lane,screenFile,seed,boatLabel,adjustedTimeString,boatId,handicap,penalty,adjustedTimeDelta,rawTimeDelta,adjustedTimePercent,rawTimePercent,laneLong,penaltyCode,boatStatus,rawTimeString,handicapString,penaltyString,adjustedTimeDeltaString,rawTimeDeltaString,avg_age,adjustedTimePercentString,rawTimePercentString,photoId,composite,longName,displayNum,altTitle,sp1Delta,sp2Delta,sp3Delta,dtUpdated,sp1Label,sp2Label,sp3Label,sp4Label,distanceRowed,distanceDelta,distancePercent,detailsUrl,orderOfFinishPlace,sp4RawTime,sp1RawTime,sp1RawTimeString,sp1Location,sp1Distance,sp2RawTime,sp2RawTimeString,sp2Location,sp2Distance,sp3RawTime,sp3RawTimeString,sp3Location,sp3Distance,sp4RawTimeString,sp4Location,sp4Distance,orgCount,sp1Split,sp1Place,sp2Split,sp2Place,sp3Split,sp3Place,sp4Split,sp1SplitPlace,sp2SplitPlace,sp3SplitPlace,sp4SplitPlace,sp1SplitTimeString,sp2SplitTimeString,sp3SplitTimeString,sp4SplitTimeString,sp1MarginString,sp2MarginString,sp3MarginString,avgAge,orgName,marginComment,comment,divisionTitle
Men's Club Eights,2012,11,944602,14,3810_1294536319541.png,A,T. Arvin,15:44.602,5194,0,0,8660,8660,0.0719,0.0719,14,,,15:44.602,0.00,,0:08.660,0:08.660,19,7.19,7.19,0,,GMU Crew,0,,0,0,0,1377962766000,Riverside,Weld,Cambridge BC,Finish,0.0m,,,,11th,944602,212221,3:32.221,1,0,513163,8:33.163,2,0,779041,12:59.041,3,0,15:44.602,4,0,1,212221,0,300942,0,265878,0,165561,0,0,0,0,3:32.221,5:00.942,4:25.878,2:45.561,,,,19,GMU Crew,,,
Men's Club Eights,2012,12,947489,18,172_1211369665746.png,C,J. Rogers,15:47.489,5090,0,0,2890,2890,0.0751,0.0751,18,,,15:47.489,0.00,,0:02.890,0:02.890,18,7.51,7.51,0,,Harvard U,0,,0,0,0,1377962766000,Riverside,Weld,Cambridge BC,Finish,0.0m,,,,12th,947489,214557,3:34.557,1,0,516665,8:36.665,2,0,782851,13:02.851,3,0,15:47.489,4,0,1,214557,0,302108,0,266186,0,164638,0,0,0,0,3:34.557,5:02.108,4:26.186,2:44.638,,,,18,Harvard U,,,
Men's Club Eights,2012,13,949677,13,4797_1338569466223.png,A,S. Medcalf,15:49.677,3376,0,0,2190,2190,0.0776,0.0776,13,,,15:49.677,0.00,,0:02.190,0:02.190,25,7.76,7.76,0,,Brown Alumni,0,,0,0,0,1377962766000,Riverside,Weld,Cambridge BC,Finish,0.0m,,,,13th,949677,206843,3:26.843,1,0,511126,8:31.126,2,0,781770,13:01.770,3,0,15:49.677,4,0,1,206843,0,304283,0,270644,0,167907,0,0,0,0,3:26.843,5:04.283,4:30.644,2:47.907,,,,25,Brown Alumni,,,
Men's Club Eights,2012,14,959691,32,1071_1317959541281.png,A,S. Shaw,15:59.691,6332,0,0,10010,10010,0.089,0.089,32,,,15:59.691,0.00,,0:10.010,0:10.010,19,8.90,8.90,0,,Holy Cross,0,,0,0,0,1377962766000,Riverside,Weld,Cambridge BC,Finish,0.0m,,,,14th,959691,217098,3:37.098,1,0,523353,8:43.353,2,0,793088,13:13.088,3,0,15:59.691,4,0,1,217098,0,306255,0,269735,0,166603,0,0,0,0,3:37.098,5:06.255,4:29.735,2:46.603,,,,19,Holy Cross,,,
Men's Club Eights,2012,15,962305,11,1107_1211368039962.png,A,P. DeGregorio,16:02.305,5604,0,0,2620,2620,0.092,0.092,11,,,16:02.305,0.00,,0:02.620,0:02.620,19,9.20,9.20,0,,Bucknell,0,,0,0,0,1377962766000,Riverside,Weld,Cambridge BC,Finish,0.0m,,,,15th,962305,213911,3:33.911,1,0,515660,8:35.660,2,0,793088,13:13.088,3,0,16:02.305,4,0,1,213911,0,301749,0,277428,0,169217,0,0,0,0,3:33.911,5:01.749,4:37.428,2:49.217,,,,19,Bucknell,,,
Men's Club Eights,2012,16,965415,33,78_1211367876374.png,C,D. Miller,16:05.415,5786,0,0,3110,3110,0.0955,0.0955,33,,,16:05.415,0.00,,0:03.110,0:03.110,18,9.55,9.55,0,,BU Men,0,,0,0,0,1377962766000,Riverside,Weld,Cambridge BC,Finish,0.0m,,,,16th,965415,216417,3:36.417,1,0,523803,8:43.803,2,0,794137,13:14.137,3,0,16:05.415,4,0,1,216417,0,307386,0,270334,0,171278,0,0,0,0,3:36.417,5:07.386,4:30.334,2:51.278,,,,18,BU Men,,,
Men's Club Eights,2012,17,976345,17,109_1211367807653.png,A,F. Gonfiantini,16:16.345,6868,0,0,10930,10930,0.1079,0.1079,17,,,16:16.345,0.00,,0:10.930,0:10.930,20,10.79,10.79,0,,Boston College,0,,0,0,0,1377962766000,Riverside,Weld,Cambridge BC,Finish,0.0m,,,,17th,976345,218643,3:38.643,1,0,528476,8:48.476,2,0,803316,13:23.316,3,0,16:16.345,4,0,1,218643,0,309833,0,274840,0,173029,0,0,0,0,3:38.643,5:09.833,4:34.840,2:53.029,,,,20,Boston College,,,
Men's Club Eights,2012,18,977691,8,820_1211509688960.png,A,B. Lindamood,16:17.691,5304,0,0,1340,1340,0.1094,0.1094,8,,,16:17.691,0.00,,0:01.340,0:01.340,20,10.94,10.94,0,,Marietta College,0,,0,0,0,1377962766000,Riverside,Weld,Cambridge BC,Finish,0.0m,,,,18th,977691,219469,3:39.469,1,0,523959,8:43.959,2,0,801408,13:21.408,3,0,16:17.691,4,0,1,219469,0,304490,0,277449,0,176283,0,0,0,0,3:39.469,5:04.490,4:37.449,2:56.283,,,,20,Marietta College,,,
Men's Club Eights,2012,19,978638,21,628_1352230692395.png,A,P. Stroble,16:18.638,480,0,0,950,950,0.1105,0.1105,21,,,16:18.638,0.00,,0:00.950,0:00.950,40,11.05,11.05,0,,Yale Old Fellows,0,,0,0,0,1377962766000,Riverside,Weld,Cambridge BC,Finish,0.0m,,,,19th,978638,219490,3:39.490,1,0,529694,8:49.694,2,0,806845,13:26.845,3,0,16:18.638,4,0,1,219490,0,310204,0,277151,0,171793,0,0,0,0,3:39.490,5:10.204,4:37.151,2:51.793,,,,40,Yale Old Fellows,,,
Men's Club Eights,2012,20,982842,16,,A,d. walker,16:22.842,6144,0,0,4200,4200,0.1153,0.1153,16,,,16:22.842,0.00,,0:04.200,0:04.200,38,11.53,11.53,0,,DA Coaches,0,,0,0,0,1377962766000,Riverside,Weld,Cambridge BC,Finish,0.0m,,,,20th,982842,226488,3:46.488,1,0,536342,8:56.342,2,0,811034,13:31.034,3,0,16:22.842,4,0,1,226488,0,309854,0,274692,0,171808,0,0,0,0,3:46.488,5:09.854,4:34.692,2:51.808,,,,38,DA Coaches,,,
